Statistics
-------------------------------------
Input File: hash.txt
Total non-unique words: 961
Total unique words: 327
             A 39 time(s)
              C 1 time(s)
              D 1 time(s)
              H 1 time(s)
              I 1 time(s)
              O 1 time(s)
              S 3 time(s)
            BE 11 time(s)
             ME 1 time(s)
            OF 46 time(s)
             IF 1 time(s)
             ON 3 time(s)
            IN 22 time(s)
             UP 2 time(s)
             AN 8 time(s)
       SUPPLIED 1 time(s)
       MEASURED 1 time(s)
       OCCUPIED 2 time(s)
           ITEM 2 time(s)
           KNOW 2 time(s)
            AS 11 time(s)
       DECREASE 1 time(s)
           THAT 6 time(s)
       DESIGNED 2 time(s)
           LIST 7 time(s)
            TO 18 time(s)
           THIS 6 time(s)
           FROM 1 time(s)
       ASSIGNED 1 time(s)
             SO 1 time(s)
       LOCATION 3 time(s)
       STANDARD 1 time(s)
           MUST 2 time(s)
           WORD 5 time(s)
           BOTH 2 time(s)
           KEYS 2 time(s)
           SIZE 3 time(s)
       UTILIZED 1 time(s)
           NEXT 1 time(s)
            IS 12 time(s)
       POLICIES 2 time(s)
           INTO 3 time(s)
       SEARCHES 1 time(s)
           EVER 1 time(s)
       ALLOWING 1 time(s)
             OR 5 time(s)
       ELEMENTS 2 time(s)
          YOUR 10 time(s)
           TEXT 1 time(s)
       STARTING 1 time(s)
       ANYTHING 1 time(s)
           WITH 9 time(s)
           ALSO 1 time(s)
           THEY 5 time(s)
             IT 9 time(s)
       ORIGINAL 2 time(s)
       POSSIBLE 1 time(s)
       ALTERING 1 time(s)
           RUNS 1 time(s)
      BEGINNING 1 time(s)
      FUNCTION 12 time(s)
       DOCUMENT 1 time(s)
       INTERNAL 1 time(s)
       PROGRAMS 1 time(s)
             BY 6 time(s)
             EX 1 time(s)
      KNOWLEDGE 1 time(s)
      AVAILABLE 1 time(s)
       ANALYSIS 2 time(s)
      CONTAINED 1 time(s)
      INCREASED 1 time(s)
       DIRECTLY 1 time(s)
      OCCURRING 1 time(s)
      REHASHING 1 time(s)
       POSITION 1 time(s)
      COLLISION 4 time(s)
      FOLLOWING 2 time(s)
      CALCULATE 1 time(s)
      QUADRATIC 2 time(s)
       OPERATOR 1 time(s)
      RETURNING 1 time(s)
      CHARACTER 1 time(s)
      LOCATIONS 1 time(s)
      DIFFERENT 1 time(s)
      OCCUPANCY 6 time(s)
      STRUCTURE 1 time(s)
      BUCKETING 1 time(s)
